"Country","Year","Season","Area","Fleets","Fleet1","Catch.Cat.","Discards.Imported.Or.Raised","Catch..kg","Source","p","Catch..kgOld"
"France",2002,1,"27.7.k","OTB_CRU_0_0","OTB_CRU","Landings","Imported",238.07,"FillCountry",1,238.07
"France",2002,1,"27.7.k","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",152.35,"FillCountry",1,152.35
"France",2002,1,"27.7.k","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",44.37,"FillCountry",1,44.37
"France",2002,1,"27.8.a","GNS_DEF_0_0","GNS_DEF","Landings","Imported",896.05,"FillCountry",1,896.05
"France",2002,1,"27.8.a","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",10756.25,"FillCountry",1,10756.25
"France",2002,1,"27.8.a","GTR_CRU_0_0_0","GNS_DEF","Landings","Imported",142.76,"FillCountry",1,142.76
"France",2002,1,"27.8.a","GTR_DEF_0_0","GNS_DEF","Landings","Imported",1893.44,"FillCountry",1,1893.44
"France",2002,1,"27.8.a","GTR_DEF_100-119_0_0","GNS_DEF","Landings","Imported",3859.78,"FillCountry",1,3859.78
"France",2002,1,"27.8.a","GTR_DEF_>=220_0_0","GNS_DEF","Landings","Imported",10.26,"FillCountry",1,10.26
"France",2002,1,"27.8.a","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.8.a","OTB_CRU_0_0","OTB_CRU","Landings","Imported",6098.87,"Imported",1,6098.87
"France",2002,1,"27.8.a","OTB_DEF_0_0","OTB_DEF","Landings","Imported",4907.76,"Imported",1,4907.76
"France",2002,1,"27.8.a","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",69732.4,"Imported",1,69732.4
"France",2002,1,"27.8.a","OTT-CRU","OTB_CRU","Landings","Imported",17483.06,"Imported",1,17483.06
"France",2002,1,"27.8.a","OTT-DEF","OTB_DEF","Landings","Imported",1958.43,"FillCountry",1,1958.43
"France",2002,1,"27.8.a","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",137557.35,"Imported",1,137557.35
"France",2002,1,"27.8.a","SSC_DEF_0_0","MIS_MIS","Landings","Imported",20.83,"FillCountry",1,20.83
"France",2002,1,"27.8.b","GNS_DEF_0_0","GNS_DEF","Landings","Imported",3959.08,"FillCountry",1,3959.08
"France",2002,1,"27.8.b","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",7262.61,"FillCountry",1,7262.61
"France",2002,1,"27.8.b","GTR_DEF_0_0","GNS_DEF","Landings","Imported",1216.4,"FillCountry",1,1216.4
"France",2002,1,"27.8.b","GTR_DEF_100-119_0_0","GNS_DEF","Landings","Imported",6608.12,"FillCountry",1,6608.12
"France",2002,1,"27.8.b","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",398.89,"FillCountry",1,398.89
